Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0805,2,10uF,
C2,0805,1,220nF,
C3,0805,1,0.1uF,
C5,0805,1,1uF,
"C6, C7",0805,2,100nF,
"D1, D2",0805,2,LED,
D3,D_SOD-123,1,1N4148W,
"H1, H4",MountingHole_2.5mm_Pad_TopBottom,2,MountingHole,
J1,PinSocket_2x03_P2.54mm_Vertical,1,hookup,
J2,PinSocket_1x03_P2.54mm_Vertical,1,SERVO,
J3,PinHeader_1x03_P2.54mm_Vertical,1,TXRX,
J4,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,OUT0,
J5,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,I2C,
J6,spring_terminal,1,~,
J7,SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,1,GND,
J8,USB_C_Receptacle_Amphenol_12401610E4-2A_CircularHoles,1,USB_C_Receptacle_USB2.0,
K1,Relay_SPDT_Finder_36.11,1,FINDER-36.11,
MIC,S15OT421,1,S15OT421,C2684419
Q1,SOT-23,1,MMBT3904,
"Q2, Q3",SOT-23,2,BC817,
R1,0805,1,R220,
"R10, R11, R14, R15, R3, R7",0805,6,10K,
"R12, R13",0805,2,2.7K,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,Photoresistor,
R4,0805,1,1M,
R5,0805,1,220,
R6,0805,1,1K,
"R8, R9",0805,2,5.1K,
RV5K1,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Potentiometer,
SW1,SW_Push_1P1T_NO_CK_KSC7xxJ,1,SW_DIP_x01,
SW2,SW_DIP_SPSTx01_Slide_Omron_A6S-110x_W8.9mm_P2.54mm,1,SW_DIP_x01,
U1,ESP32-Dev_Batt_18650,1,ESP32-DevKitC,
U2,SOT-23-5,1,MIC5225-3.3YM5,C512101
U3,LGA-12_2x2mm_P0.5mm,1,LSM303C,
U4,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,
